"product_category_name";"product_category_name_englishh";"jumlah"
"cama_mesa_banho";"bed_bath_table";10953
"beleza_saude";"health_beauty";9465
"esporte_lazer";"sports_leisure";8431
"moveis_decoracao";"furniture_decor";8160
"informatica_acessorios";"computers_accessories";7644
"utilidades_domesticas";"housewares";6795
"relogios_presentes";"watches_gifts";5859
"telefonia";"telephony";4430
"ferramentas_jardim";"garden_tools";4268
"automotivo";"auto";4140
