"bulan";"product_category_name";"product_category_name_englishh";"jumlah"
"2017-02";"fashion_roupa_feminina";"fashio_female_clothing";3
"2017-02";"casa_conforto";"home_confort";3
"2017-02";"construcao_ferramentas_construcao";"construction_tools_construction";3
"2017-02";"fashion_calcados";"fashion_shoes";3
"2017-02";"moveis_cozinha_area_de_servico_jantar_e_jardim";"kitchen_dining_laundry_garden_furniture";2
"2017-02";"construcao_ferramentas_jardim";"costruction_tools_garden";2
"2017-02";"eletrodomesticos_2";"home_appliances_2";1
"2017-02";"industria_comercio_e_negocios";"industry_commerce_and_business";1
"2017-02";"construcao_ferramentas_seguranca";"construction_tools_safety";1
"2017-02";"dvds_blu_ray";"dvds_blu_ray";1
"2017-02";"moveis_quarto";"furniture_bedroom";1
"2017-02";"cine_foto";"cine_photo";1
"2017-02";"livros_tecnicos";"books_technical";1
"2017-02";"pcs";"computers";1
"2017-03";"moveis_decoracao";"furniture_decor";315
"2017-03";"cama_mesa_banho";"bed_bath_table";279
"2017-03";"beleza_saude";"health_beauty";208
"2017-03";"utilidades_domesticas";"housewares";196
"2017-03";"esporte_lazer";"sports_leisure";190
"2017-03";"informatica_acessorios";"computers_accessories";171
"2017-03";"telefonia";"telephony";165
"2017-03";"ferramentas_jardim";"garden_tools";146
"2017-03";"cool_stuff";"cool_stuff";118
"2017-03";"perfumaria";"perfumery";105
"2017-03";"brinquedos";"toys";102
"2017-03";"relogios_presentes";"watches_gifts";79
"2017-03";"automotivo";"auto";78
"2017-03";"moveis_escritorio";"office_furniture";74
"2017-03";"fashion_bolsas_e_acessorios";"fashion_bags_accessories";66
"2017-03";"";"Unknown";60
"2017-03";"papelaria";"stationery";56
"2017-03";"consoles_games";"consoles_games";47
"2017-03";"pet_shop";"pet_shop";44
"2017-03";"bebes";"baby";42
"2017-03";"malas_acessorios";"luggage_accessories";38
"2017-03";"eletronicos";"electronics";37
"2017-03";"eletroportateis";"small_appliances";31
"2017-03";"moveis_sala";"furniture_living_room";24
"2017-03";"livros_interesse_geral";"books_general_interest";24
"2017-03";"alimentos";"food";21
"2017-03";"telefonia_fixa";"fixed_telephony";20
"2017-03";"market_place";"market_place";17
"2017-03";"climatizacao";"air_conditioning";17
"2017-03";"fashion_calcados";"fashion_shoes";14
"2017-03";"audio";"audio";14
"2017-03";"casa_conforto";"home_confort";13
"2017-03";"eletrodomesticos";"home_appliances";10
"2017-03";"casa_construcao";"home_construction";10
"2017-03";"instrumentos_musicais";"musical_instruments";10
"2017-03";"fashion_roupa_masculina";"fashion_male_clothing";9
"2017-03";"fashion_underwear_e_moda_praia";"fashion_underwear_beach";6
"2017-03";"tablets_impressao_imagem";"tablets_printing_image";5
"2017-03";"bebidas";"drinks";5
"2017-03";"alimentos_bebidas";"food_drink";4
"2017-03";"dvds_blu_ray";"dvds_blu_ray";4
"2017-03";"artes";"art";4
"2017-03";"casa_conforto_2";"home_comfort_2";3
"2017-03";"moveis_cozinha_area_de_servico_jantar_e_jardim";"kitchen_dining_laundry_garden_furniture";3
"2017-03";"agro_industria_e_comercio";"agro_industry_and_commerce";2
"2017-03";"livros_tecnicos";"books_technical";2
"2017-03";"industria_comercio_e_negocios";"industry_commerce_and_business";2
"2017-03";"eletrodomesticos_2";"home_appliances_2";2
"2017-03";"construcao_ferramentas_construcao";"construction_tools_construction";1
"2017-03";"musica";"music";1
"2017-03";"fashion_esporte";"fashion_sport";1
"2017-03";"sinalizacao_e_seguranca";"signaling_and_security";1
"2017-03";"fashion_roupa_feminina";"fashio_female_clothing";1
"2017-04";"cama_mesa_banho";"bed_bath_table";271
"2017-04";"esporte_lazer";"sports_leisure";203
"2017-04";"moveis_decoracao";"furniture_decor";191
"2017-04";"beleza_saude";"health_beauty";180
"2017-04";"utilidades_domesticas";"housewares";169
"2017-04";"telefonia";"telephony";142
"2017-04";"informatica_acessorios";"computers_accessories";132
"2017-04";"cool_stuff";"cool_stuff";114
"2017-04";"brinquedos";"toys";113
