"tahun";"product_category_name";"product_category_name_englishh";"jumlah"
"2018";"industria_comercio_e_negocios";"industry_commerce_and_business";227
"2018";"livros_tecnicos";"books_technical";219
"2018";"audio";"audio";195
"2018";"artes";"art";165
"2018";"construcao_ferramentas_jardim";"costruction_tools_garden";156
"2018";"climatizacao";"air_conditioning";155
"2018";"moveis_cozinha_area_de_servico_jantar_e_jardim";"kitchen_dining_laundry_garden_furniture";155
"2018";"casa_conforto";"home_confort";154
"2018";"sinalizacao_e_seguranca";"signaling_and_security";153
"2018";"eletrodomesticos_2";"home_appliances_2";148
"2018";"alimentos_bebidas";"food_drink";145
"2018";"agro_industria_e_comercio";"agro_industry_and_commerce";145
"2018";"construcao_ferramentas_seguranca";"construction_tools_safety";143
"2018";"market_place";"market_place";107
"2018";"telefonia_fixa";"fixed_telephony";100
"2018";"artigos_de_natal";"christmas_supplies";89
"2018";"construcao_ferramentas_ferramentas";"costruction_tools_tools";81
"2018";"pcs";"computers";72
"2018";"fashion_calcados";"fashion_shoes";70
"2018";"portateis_casa_forno_e_cafe";"small_appliances_home_oven_and_coffee";70
"2018";"cine_foto";"cine_photo";62
"2018";"moveis_quarto";"furniture_bedroom";62
"2018";"livros_importados";"books_imported";43
"2018";"fashion_underwear_e_moda_praia";"fashion_underwear_beach";42
"2018";"fraldas_higiene";"diapers_and_hygiene";34
"2018";"artigos_de_festas";"party_supplies";32
"2018";"musica";"music";27
"2018";"fashion_roupa_masculina";"fashion_male_clothing";26
"2018";"dvds_blu_ray";"dvds_blu_ray";25
"2018";"flores";"flowers";25
"2018";"tablets_impressao_imagem";"tablets_printing_image";22
"2018";"artes_e_artesanato";"arts_and_craftmanship";22
"2018";"moveis_colchao_e_estofado";"furniture_mattress_and_upholstery";19
"2018";"fashion_roupa_feminina";"fashio_female_clothing";16
"2018";"portateis_cozinha_e_preparadores_de_alimentos";"Unknown";14
"2018";"casa_conforto_2";"home_comfort_2";10
"2018";"fashion_esporte";"fashion_sport";5
"2018";"la_cuisine";"la_cuisine";4
"2018";"pc_gamer";"Unknown";4
"2018";"fashion_roupa_infanto_juvenil";"fashion_childrens_clothes";3
"2018";"cds_dvds_musicais";"cds_dvds_musicals";1
