"tanggal";"avg_item_per_transaksi_desimal";"avg_item_per_transaksi_bulat"
"2016-09-15";3.0;3
"2016-10-03";1.0;1
"2016-10-04";1.17;1
"2016-10-05";1.37;1
"2016-10-06";1.15;1
"2016-10-07";1.16;1
"2016-10-08";1.14;1
"2016-10-09";1.3;1
"2016-10-10";1.09;1
"2016-12-23";1.0;1
"2017-01-05";1.0;1
"2017-01-06";1.0;1
"2017-01-07";1.25;1
"2017-01-08";1.0;1
"2017-01-09";1.2;1
"2017-01-10";1.0;1
"2017-01-11";1.0;1
"2017-01-12";1.17;1
"2017-01-13";1.0;1
"2017-01-14";1.0;1
"2017-01-15";1.5;2
"2017-01-16";1.28;1
"2017-01-17";1.16;1
"2017-01-18";1.07;1
"2017-01-19";1.21;1
"2017-01-20";1.39;1
"2017-01-21";1.55;2
"2017-01-22";1.1;1
"2017-01-23";1.42;1
"2017-01-24";1.11;1
"2017-01-25";1.11;1
"2017-01-26";1.18;1
"2017-01-27";1.25;1
"2017-01-28";1.04;1
"2017-01-29";1.38;1
"2017-01-30";1.5;2
"2017-01-31";1.25;1
"2017-02-01";1.05;1
"2017-02-02";1.1;1
"2017-02-03";1.07;1
"2017-02-04";1.09;1
"2017-02-05";1.11;1
"2017-02-06";1.08;1
"2017-02-07";1.14;1
"2017-02-08";1.11;1
"2017-02-09";1.07;1
"2017-02-10";1.11;1
"2017-02-11";1.13;1
"2017-02-12";1.05;1
"2017-02-13";1.16;1
"2017-02-14";1.14;1
"2017-02-15";1.05;1
"2017-02-16";1.1;1
"2017-02-17";1.24;1
"2017-02-18";1.21;1
"2017-02-19";1.11;1
"2017-02-20";1.14;1
"2017-02-21";1.05;1
"2017-02-22";1.09;1
"2017-02-23";1.23;1
"2017-02-24";1.17;1
"2017-02-25";1.1;1
"2017-02-26";1.17;1
"2017-02-27";1.24;1
"2017-02-28";1.23;1
"2017-03-01";1.19;1
"2017-03-02";1.11;1
"2017-03-03";1.11;1
"2017-03-04";1.12;1
"2017-03-05";1.15;1
"2017-03-06";1.16;1
"2017-03-07";1.22;1
"2017-03-08";1.11;1
"2017-03-09";1.25;1
"2017-03-10";1.13;1
"2017-03-11";1.13;1
"2017-03-12";1.11;1
"2017-03-13";1.05;1
"2017-03-14";1.16;1
"2017-03-15";1.14;1
"2017-03-16";1.24;1
"2017-03-17";1.22;1
"2017-03-18";1.04;1
"2017-03-19";1.05;1
"2017-03-20";1.1;1
"2017-03-21";1.12;1
"2017-03-22";1.16;1
"2017-03-23";1.22;1
"2017-03-24";1.11;1
"2017-03-25";1.14;1
"2017-03-26";1.08;1
"2017-03-27";1.1;1
"2017-03-28";1.15;1
"2017-03-29";1.15;1
"2017-03-30";1.13;1
"2017-03-31";1.04;1
"2017-04-01";1.03;1
"2017-04-02";1.2;1
"2017-04-03";1.15;1
"2017-04-04";1.14;1
"2017-04-05";1.06;1
"2017-04-06";1.09;1
"2017-04-07";1.12;1
"2017-04-08";1.08;1
"2017-04-09";1.07;1
"2017-04-10";1.1;1
"2017-04-11";1.1;1
"2017-04-12";1.05;1
"2017-04-13";1.07;1
"2017-04-14";1.15;1
"2017-04-15";1.06;1
"2017-04-16";1.06;1
"2017-04-17";1.05;1
"2017-04-18";1.18;1
"2017-04-19";1.16;1
"2017-04-20";1.18;1
"2017-04-21";1.14;1
"2017-04-22";1.13;1
"2017-04-23";1.06;1
"2017-04-24";1.14;1
"2017-04-25";1.11;1
"2017-04-26";1.11;1
"2017-04-27";1.28;1
"2017-04-28";1.09;1
"2017-04-29";1.19;1
"2017-04-30";1.05;1
"2017-05-01";1.14;1
"2017-05-02";1.09;1
"2017-05-03";1.09;1
"2017-05-04";1.13;1
"2017-05-05";1.13;1
"2017-05-06";1.19;1
"2017-05-07";1.08;1
"2017-05-08";1.17;1
